Designator,Mid X,Mid Y,Layer,Rotation
C1,-139.573000mm,-68.707000mm,Bottom,90
C2,-118.213000mm,-85.396000mm,Bottom,0
D1,-119.262000mm,-56.546500mm,Bottom,0
D2,-139.574000mm,-73.298000mm,Bottom,90
D3,-139.603000mm,-51.127000mm,Bottom,90
D4,-119.253000mm,-53.657500mm,Bottom,0
D5,-139.574000mm,-77.548000mm,Bottom,90
D6,-118.973000mm,-73.566000mm,Bottom,0
D7,-118.113000mm,-76.516000mm,Bottom,0
D8,-119.262000mm,-59.496500mm,Bottom,0
R1,-139.574000mm,-81.878000mm,Bottom,90
R2,-139.603000mm,-64.277000mm,Bottom,90
R3,-118.193000mm,-82.416000mm,Bottom,0
R4,-139.514000mm,-90.698000mm,Bottom,90
R5,-119.342000mm,-65.396500mm,Bottom,0
R6,-139.514000mm,-86.288000mm,Bottom,90
R7,-118.193000mm,-79.466000mm,Bottom,0
R8,-139.603000mm,-59.867000mm,Bottom,90
R9,-119.342000mm,-62.446500mm,Bottom,0
R10,-139.603000mm,-55.457000mm,Bottom,90
U1,-119.824000mm,-97.917000mm,Bottom,0
U2,-140.144000mm,-97.472500mm,Bottom,0
